"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 25 15:17:55 GMT 2025","Mon Aug 25 15:17:55 GMT 2025","42","api.tests","test_booking","","","","Успешное создание бронирования","Проверка создания бронирования с полным набором валидных данных."
"passed","Mon Aug 25 15:17:55 GMT 2025","Mon Aug 25 15:17:55 GMT 2025","44","api.tests","test_booking","","","","Негативные тесты создания бронирования","Проверка, что система возвращает ошибку при отправке некорректных данных."
"passed","Mon Aug 25 15:17:56 GMT 2025","Mon Aug 25 15:17:56 GMT 2025","41","api.tests","test_booking","","","","Негативный тест: Частичное обновление несуществующего бронирования","Проверка ответа системы при попытке обновить несуществующий ресурс."
"passed","Mon Aug 25 15:18:01 GMT 2025","Mon Aug 25 15:18:03 GMT 2025","1956","ui.tests","test_text_box","","","","Успешное заполнение и проверка формы Text Box","Этот тест заполняет все поля формы Text Box и проверяет корректность отображения данных."
"passed","Mon Aug 25 15:17:59 GMT 2025","Mon Aug 25 15:18:00 GMT 2025","1428","ui.tests","test_check_box","","","","Успешный выбор всех чекбоксов в древовидной структуре","Этот тест раскрывает дерево, выбирает несколько чекбоксов и проверяет результат."
"failed","Mon Aug 25 15:17:56 GMT 2025","Mon Aug 25 15:17:56 GMT 2025","46","api.tests","test_booking","","","","Негативный тест: Частичное обновление с невалидными данными","Проверка, что система возвращает ошибку при отправке некорректных данных."
"passed","Mon Aug 25 15:17:56 GMT 2025","Mon Aug 25 15:17:56 GMT 2025","41","api.tests","test_booking","","","","Негативный тест: Попытка обновить бронирование с невалидным токеном","Проверка, что система не позволяет изменять данные без авторизации."
"passed","Mon Aug 25 15:17:56 GMT 2025","Mon Aug 25 15:17:56 GMT 2025","75","api.tests","test_booking","","","","Успешное получение списка всех бронирований","Проверка эндпоинта получения списка всех бронирований."
"passed","Mon Aug 25 15:17:55 GMT 2025","Mon Aug 25 15:17:55 GMT 2025","44","api.tests","test_booking","","","","Негативные тесты создания бронирования","Проверка, что система возвращает ошибку при отправке некорректных данных."
"passed","Mon Aug 25 15:17:56 GMT 2025","Mon Aug 25 15:17:56 GMT 2025","163","api.tests","test_booking","","","","Негативный тест: Попытка обновить бронирование с невалидным токеном","Проверка частичного обновления данных ранее созданного бронирования."
"failed","Mon Aug 25 15:17:55 GMT 2025","Mon Aug 25 15:17:55 GMT 2025","71","api.tests","test_booking","","","","Негативные тесты создания бронирования","Проверка, что система возвращает ошибку при отправке некорректных данных."
"passed","Mon Aug 25 15:17:55 GMT 2025","Mon Aug 25 15:17:55 GMT 2025","44","api.tests","test_booking","","","","Негативные тесты создания бронирования","Проверка, что система возвращает ошибку при отправке некорректных данных."
"passed","Mon Aug 25 15:17:56 GMT 2025","Mon Aug 25 15:17:56 GMT 2025","68","api.tests","test_booking","","","","Негативный тест: Частичное обновление с невалидным токеном","Проверка, что система не позволяет частично изменять данные без авторизации."
"passed","Mon Aug 25 15:17:57 GMT 2025","Mon Aug 25 15:17:59 GMT 2025","1682","ui.tests","test_check_box","","","","Успешный выбор чекбоксов в древовидной структуре","Этот тест раскрывает дерево, выбирает несколько чекбоксов и проверяет результат."
